"","female","cg","sc","hsg","mw","so","we","ne","exp1","exp2","exp3","wage"
"1674014",0,0,0,1,0,0,0,1,9,0.81,0.729,15.675
"1674024",0,0,0,1,0,0,0,1,10,1,1,12.6666666666667
"1674025",1,0,0,1,0,0,0,1,11,1.21,1.331,9.81666666666667
"1674030",1,0,0,1,0,0,0,1,26,6.76,17.576,8.55
"1674031",1,0,1,0,0,0,0,1,23.5,5.5225,12.977875,16.74375
"1674042",0,1,0,0,0,0,0,1,16,2.56,4.096,14.25
"1674043",0,1,0,0,0,0,0,1,2,0.04,0.008,14.9625
"1674044",0,0,0,1,0,0,0,1,24,5.76,13.824,24.9375
"1674061",0,1,0,0,0,0,0,1,13,1.69,2.197,15.45
"1674062",0,1,0,0,0,0,0,1,11,1.21,1.331,17.8125
"1674063",0,0,1,0,0,0,0,1,12,1.44,1.728,7.8375
"1674083",1,1,0,0,0,0,0,1,2,0.04,0.008,15.4375
"1674084",0,1,0,0,0,0,0,1,4,0.16,0.064,15.3461538461538
"1674087",0,1,0,0,0,0,0,1,13,1.69,2.197,28.5
"1674097",0,1,0,0,0,0,0,1,6,0.36,0.216,7.125
"1674107",0,1,0,0,0,0,0,1,24,5.76,13.824,12.46875
"1674148",0,1,0,0,0,0,0,1,5,0.25,0.125,18.267075
"1674150",1,0,1,0,0,0,0,1,5.5,0.3025,0.166375,6.10714285714286
"1674152",0,0,1,0,0,0,0,1,5,0.25,0.125,17.7333333333333
"1674157",0,0,0,1,0,0,0,1,35,12.25,42.875,12.46875
"1674170",0,0,1,0,0,0,0,1,6,0.36,0.216,6.76875
"1674228",0,0,1,0,0,0,0,1,11,1.21,1.331,17.8125
"1674259",0,0,1,0,0,0,0,1,4.5,0.2025,0.091125,11.75625
"1674292",0,0,1,0,0,0,0,1,10,1,1,6.4125
"1674296",0,0,0,1,0,0,0,1,15,2.25,3.375,14.82
"1674306",1,0,1,0,0,0,0,1,13,1.69,2.197,8.47297297297298
"1674309",0,0,1,0,0,0,0,1,7.5,0.5625,0.421875,5.34375
"1674310",1,0,1,0,0,0,0,1,6.5,0.4225,0.274625,8.14285714285714
"1674312",0,0,0,1,0,0,0,1,8,0.64,0.512,5.928
"1674317",1,0,1,0,0,0,0,1,26.5,7.0225,18.609625,12.1125
"1674318",0,0,0,1,0,0,0,1,11,1.21,1.331,9.2625
"1674341",1,0,0,1,0,0,0,1,29,8.41,24.389,10.6875
"1674343",0,0,0,1,0,0,0,1,23,5.29,12.167,10.6875
"1674352",1,0,1,0,0,0,0,1,29,8.41,24.389,20.30625
"1674357",0,0,0,1,0,0,0,1,10,1,1,19.4318181818182
"1674374",0,1,0,0,0,0,0,1,24,5.76,13.824,12.46875
"1674398",1,1,0,0,0,0,0,1,23,5.29,12.167,22.693125
"1674400",0,0,1,0,0,0,0,1,5.5,0.3025,0.166375,11.115
"1674409",1,0,0,1,0,0,0,1,35,12.25,42.875,7.125
"1674414",0,0,1,0,0,0,0,1,7.5,0.5625,0.421875,6.48375
"1674416",0,0,0,1,0,0,0,1,29,8.41,24.389,10.6875
"1674438",1,1,0,0,0,0,0,1,6,0.36,0.216,17.8125
"1674439",0,1,0,0,0,0,0,1,6,0.36,0.216,14.5738636363636
"1674450",0,1,0,0,0,0,0,1,3,0.09,0.027,9.38125
"1674472",1,0,1,0,0,0,0,1,12.5,1.5625,1.953125,8.55
"1674478",0,0,0,1,0,0,0,1,10,1,1,5.29285714285714
"1674482",0,0,0,1,0,0,0,1,16,2.56,4.096,7.81418181818182
"1674483",0,1,0,0,0,0,0,1,5,0.25,0.125,11.4
"1674484",1,0,0,1,0,0,0,1,6,0.36,0.216,11.4
"1674502",0,0,0,1,0,0,0,1,9,0.81,0.729,9.975
"1674507",0,0,0,1,0,0,0,1,20,4,8,10.6875
"1674511",0,0,0,1,0,0,0,1,31,9.61,29.791,11.1409090909091
"1674547",0,0,1,0,0,0,0,1,4.5,0.2025,0.091125,8.55
"1674548",0,0,0,1,0,0,0,1,31,9.61,29.791,9.76125
"1674553",1,0,0,1,0,0,0,1,29,8.41,24.389,6.4125
"1674561",1,0,0,1,0,0,0,1,10,1,1,4.5
"1674585",1,0,1,0,0,0,0,1,12.5,1.5625,1.953125,7.48125
"1674619",0,0,0,1,1,0,0,0,18,3.24,5.832,8.16136363636364
"1674671",0,0,1,0,1,0,0,0,16,2.56,4.096,12.46875
"1674689",0,0,0,1,1,0,0,0,24,5.76,13.824,10.33125
"1674698",0,1,0,0,1,0,0,0,2,0.04,0.008,7.8375
"1674703",0,0,0,1,1,0,0,0,6,0.36,0.216,12.1125
"1674704",1,0,0,1,1,0,0,0,10,1,1,15.2926829268293
"1674711",0,0,0,1,1,0,0,0,35,12.25,42.875,1.603125
"1674723",1,0,1,0,1,0,0,0,25,6.25,15.625,8.55
"1674751",1,0,1,0,1,0,0,0,21,4.41,9.261,8.55
"1674755",0,0,0,1,1,0,0,0,7,0.49,0.343,22.515
"1674756",0,0,0,1,1,0,0,0,22,4.84,10.648,24.9375
"1674802",0,0,0,1,1,0,0,0,24,5.76,13.824,9.2625
"1674831",0,1,0,0,1,0,0,0,25,6.25,15.625,6.05625
"1674841",1,1,0,0,1,0,0,0,7,0.49,0.343,15.496875
"1674858",0,0,1,0,1,0,0,0,5.5,0.3025,0.166375,8.19375
"1674883",0,1,0,0,1,0,0,0,15,2.25,3.375,19.5428571428571
"1674889",0,1,0,0,1,0,0,0,3,0.09,0.027,17.8125
"1674898",0,0,0,1,1,0,0,0,18,3.24,5.832,16.03125
"1674906",1,1,0,0,1,0,0,0,2,0.04,0.008,10.1785714285714
"1674907",0,0,0,1,1,0,0,0,6,0.36,0.216,8.14285714285714
"1674913",0,0,0,1,1,0,0,0,12,1.44,1.728,15.2
"1674914",1,0,1,0,1,0,0,0,6.5,0.4225,0.274625,13.8648648648649
"1674928",0,0,1,0,1,0,0,0,4,0.16,0.064,10.6875
"1674967",0,0,0,1,1,0,0,0,6,0.36,0.216,8.19375
"1674988",0,0,0,1,1,0,0,0,6,0.36,0.216,23.86875
"1674992",1,0,0,1,1,0,0,0,7,0.49,0.343,6.33333333333333
"1674997",1,1,0,0,1,0,0,0,8,0.64,0.512,6.93243243243243
"1675044",0,0,1,0,1,0,0,0,5.5,0.3025,0.166375,16.74375
"1675051",0,0,0,1,1,0,0,0,17,2.89,4.913,15.31875
"1675054",1,0,1,0,1,0,0,0,15,2.25,3.375,7.125
"1675055",1,0,0,1,1,0,0,0,14,1.96,2.744,7.125
"1675090",1,0,1,0,1,0,0,0,15,2.25,3.375,20.6625
"1675098",0,0,0,1,1,0,0,0,11,1.21,1.331,17.1
"1675100",1,0,1,0,1,0,0,0,8.5,0.7225,0.614125,7.41
"1675108",1,0,1,0,1,0,0,0,11.5,1.3225,1.520875,16.3875
"1675112",0,0,0,1,1,0,0,0,22,4.84,10.648,23.15625
"1675123",1,0,0,1,1,0,0,0,12,1.44,1.728,12.46875
"1675134",0,0,1,0,1,0,0,0,10,1,1,16.03125
"1675135",0,0,1,0,1,0,0,0,11.5,1.3225,1.520875,19.45125
"1675138",0,0,0,1,1,0,0,0,9,0.81,0.729,23.94
"1675162",1,0,1,0,1,0,0,0,6.5,0.4225,0.274625,7.125
"1675168",0,0,1,0,1,0,0,0,17.5,3.0625,5.359375,20.3571428571429
"1675170",1,0,0,1,1,0,0,0,12,1.44,1.728,6.76875
"1675194",1,0,1,0,1,0,0,0,13,1.69,2.197,12.46875
"1675197",1,1,0,0,1,0,0,0,12,1.44,1.728,8.90625
"1675218",1,1,0,0,1,0,0,0,15,2.25,3.375,12.46875
"1675237",1,0,0,1,1,0,0,0,19,3.61,6.859,11.4
"1675263",0,0,0,1,1,0,0,0,23,5.29,12.167,17.8125
"1675276",0,0,0,1,1,0,0,0,12,1.44,1.728,18.525
"1675305",1,0,1,0,1,0,0,0,16.5,2.7225,4.492125,18.7840909090909
"1675307",0,0,0,1,1,0,0,0,9,0.81,0.729,7.73571428571428
"1675321",0,1,0,0,1,0,0,0,4,0.16,0.064,9.5
"1675326",1,0,0,1,1,0,0,0,9,0.81,0.729,10.6875
"1675333",0,0,0,1,1,0,0,0,22,4.84,10.648,7.125
"1675340",0,0,0,1,1,0,0,0,11,1.21,1.331,25.3333333333333
"1675351",0,0,1,0,1,0,0,0,24.5,6.0025,14.706125,17.1
"1675361",1,0,0,1,1,0,0,0,17,2.89,4.913,14.6571428571429
"1675367",0,0,1,0,1,0,0,0,16.5,2.7225,4.492125,11.4
"1675398",1,0,1,0,1,0,0,0,4.5,0.2025,0.091125,4.07142857142857
"1675407",0,0,0,1,1,0,0,0,6,0.36,0.216,8.90625
"1675411",0,0,0,1,1,0,0,0,8,0.64,0.512,10.6875
"1675427",1,1,0,0,1,0,0,0,31,9.61,29.791,9.88
"1675430",0,1,0,0,1,0,0,0,10,1,1,4.65865384615385
"1675432",0,0,1,0,1,0,0,0,13.5,1.8225,2.460375,9.1884
"1675449",0,0,0,1,1,0,0,0,8,0.64,0.512,9.61875
"1675459",0,1,0,0,1,0,0,0,21,4.41,9.261,35.625
"1675460",1,1,0,0,1,0,0,0,17,2.89,4.913,32.0625
"1675480",0,0,1,0,1,0,0,0,30.5,9.3025,28.372625,22.5625
"1675481",1,0,1,0,1,0,0,0,14.5,2.1025,3.048625,9.2625
"1675484",1,0,1,0,1,0,0,0,11.5,1.3225,1.520875,5.57929411764706
"1675488",0,0,0,1,1,0,0,0,12,1.44,1.728,7.41
"1675499",1,0,1,0,1,0,0,0,25.5,6.5025,16.581375,11.4
"1675502",1,0,0,1,1,0,0,0,18,3.24,5.832,7.125
"1675511",0,0,1,0,1,0,0,0,25.5,6.5025,16.581375,10.33125
"1675553",0,0,0,1,1,0,0,0,19,3.61,6.859,9.5
"1675585",0,0,1,0,1,0,0,0,9,0.81,0.729,16.03125
"1675586",0,0,0,1,1,0,0,0,16,2.56,4.096,16.74375
"1675590",0,1,0,0,1,0,0,0,6,0.36,0.216,11.0833333333333
"1675603",0,1,0,0,1,0,0,0,6,0.36,0.216,10.390625
"1675604",1,1,0,0,1,0,0,0,3,0.09,0.027,10.6875
"1675606",0,0,1,0,1,0,0,0,19,3.61,6.859,21.375
"1675613",0,1,0,0,1,0,0,0,7,0.49,0.343,12.1125
"1675617",1,1,0,0,1,0,0,0,14,1.96,2.744,19.6875
"1675647",0,1,0,0,1,0,0,0,15,2.25,3.375,128.25
"1675650",0,0,0,1,1,0,0,0,15,2.25,3.375,35.568
"1675653",1,0,1,0,1,0,0,0,15,2.25,3.375,11.04375
"1675670",1,0,1,0,1,0,0,0,7,0.49,0.343,6.234375
"1675692",0,0,0,1,1,0,0,0,21,4.41,9.261,21.375
"1675707",0,0,0,1,1,0,0,0,7,0.49,0.343,11.4
"1675714",1,0,1,0,1,0,0,0,14.5,2.1025,3.048625,12.6666666666667
"1675723",1,1,0,0,1,0,0,0,19,3.61,6.859,285
"1675728",1,0,1,0,1,0,0,0,32.5,10.5625,34.328125,14.0074468085106
"1675730",0,1,0,0,1,0,0,0,14,1.96,2.744,24.5538461538462
"1675731",1,1,0,0,1,0,0,0,8,0.64,0.512,25.65
"1675732",0,1,0,0,1,0,0,0,3,0.09,0.027,3.10909090909091
"1675741",0,0,0,1,1,0,0,0,6,0.36,0.216,7.125
"1675746",0,0,0,1,1,0,0,0,21,4.41,9.261,44.3333333333333
"1675752",1,0,0,1,1,0,0,0,26,6.76,17.576,13.9333333333333
"1675769",0,0,0,1,1,0,0,0,27,7.29,19.683,12.1125
"1675782",1,1,0,0,1,0,0,0,20,4,8,19.8505813953488
"1675783",0,0,0,1,1,0,0,0,24,5.76,13.824,24.9375
"1675793",0,1,0,0,1,0,0,0,27,7.29,19.683,11.6590909090909
"1675795",1,0,1,0,1,0,0,0,16,2.56,4.096,17.8125
"1675803",1,1,0,0,1,0,0,0,8,0.64,0.512,14.25
"1675822",1,0,0,1,1,0,0,0,10,1,1,18.346875
"1675830",1,0,0,1,1,0,0,0,12,1.44,1.728,10.6875
"1675831",0,1,0,0,1,0,0,0,18,3.24,5.832,19.59375
"1675837",0,0,1,0,1,0,0,0,20,4,8,19.95
"1675850",0,0,0,1,1,0,0,0,8,0.64,0.512,10.6875
"1675881",1,0,0,1,1,0,0,0,21,4.41,9.261,6.01666666666667
"1675898",1,0,1,0,1,0,0,0,4.5,0.2025,0.091125,11.75625
"1675974",0,1,0,0,1,0,0,0,2,0.04,0.008,15.2678571428571
"1675977",1,0,1,0,1,0,0,0,22,4.84,10.648,14.25
"1675992",0,0,0,1,1,0,0,0,18,3.24,5.832,14.9625
"1676022",1,0,1,0,1,0,0,0,6,0.36,0.216,20.6625
"1676032",1,0,0,1,1,0,0,0,19,3.61,6.859,7.91666666666667
"1676051",1,0,1,0,1,0,0,0,7,0.49,0.343,8.94767441860465
"1676096",0,1,0,0,1,0,0,0,5,0.25,0.125,10.6875
"1676105",1,1,0,0,1,0,0,0,2,0.04,0.008,10.2916666666667
"1676136",0,1,0,0,1,0,0,0,7,0.49,0.343,11.4
"1676197",0,0,0,1,1,0,0,0,8,0.64,0.512,17.1
"1676227",0,0,0,1,1,0,0,0,15,2.25,3.375,11.04375
"1676228",0,0,0,1,1,0,0,0,8,0.64,0.512,11.0430375
"1676229",1,0,0,1,1,0,0,0,8,0.64,0.512,11.02629375
"1676241",1,1,0,0,1,0,0,0,9,0.81,0.729,7.87205625
"1676248",0,0,0,1,1,0,0,0,19,3.61,6.859,8.14285714285714
"1676273",1,0,1,0,1,0,0,0,13.5,1.8225,2.460375,6.27
"1676277",1,0,0,1,1,0,0,0,12,1.44,1.728,32.0625
"1676280",0,0,0,1,1,0,0,0,21,4.41,9.261,13.18125
"1676290",0,0,0,1,1,0,0,0,11,1.21,1.331,12.46875
"1676313",0,1,0,0,1,0,0,0,20,4,8,7.125
"1676317",1,0,1,0,1,0,0,0,7,0.49,0.343,7.8375
"1676320",1,0,1,0,1,0,0,0,9,0.81,0.729,10.153125
"1676408",0,0,1,0,1,0,0,0,9.5,0.9025,0.857375,23.15625
"1676412",1,0,1,0,1,0,0,0,14,1.96,2.744,8.90625
"1676416",0,0,1,0,1,0,0,0,23.5,5.5225,12.977875,12.825
"1676417",0,0,1,0,1,0,0,0,33.5,11.2225,37.595375,18.525
"1676528",0,0,0,1,1,0,0,0,30,9,27,17.1007125
"1676532",0,1,0,0,1,0,0,0,4,0.16,0.064,26.71875
"1676541",0,0,0,1,1,0,0,0,9,0.81,0.729,10.45
"1676571",0,0,0,1,1,0,0,0,7,0.49,0.343,8.90625
"1676589",1,0,1,0,1,0,0,0,27.5,7.5625,20.796875,21.375
"1676592",0,1,0,0,1,0,0,0,20,4,8,7.48125
"1676595",1,0,0,1,1,0,0,0,22,4.84,10.648,17.8125
"1676650",1,0,1,0,1,0,0,0,5,0.25,0.125,13.5375
"1676700",1,1,0,0,1,0,0,0,2,0.04,0.008,21.73125
"1676708",1,1,0,0,1,0,0,0,6,0.36,0.216,19.5428571428571
"1676712",1,0,0,1,1,0,0,0,8,0.64,0.512,7.41
"1676807",0,0,1,0,1,0,0,0,27.5,7.5625,20.796875,11.04375
"1676809",0,0,0,1,1,0,0,0,35,12.25,42.875,9.025
"1676819",0,0,0,1,1,0,0,0,11,1.21,1.331,11.04375
"1676825",0,0,1,0,1,0,0,0,22.5,5.0625,11.390625,12.46875
"1676860",1,0,1,0,1,0,0,0,15.5,2.4025,3.723875,18.3214285714286
"1676868",0,0,1,0,1,0,0,0,5.5,0.3025,0.166375,6.220125
"1676872",0,1,0,0,1,0,0,0,3,0.09,0.027,12.46875
"1676874",0,0,0,1,1,0,0,0,15,2.25,3.375,10.68714375
"1676879",0,0,1,0,1,0,0,0,6,0.36,0.216,4.5125
"1676895",1,0,0,1,1,0,0,0,32,10.24,32.768,24.9375
"1676896",1,0,1,0,1,0,0,0,28.5,8.1225,23.149125,16.4553571428571
"1676909",0,0,0,1,1,0,0,0,15,2.25,3.375,21.375
"1676910",0,1,0,0,1,0,0,0,4,0.16,0.064,17.8125
"1676921",1,0,1,0,1,0,0,0,17.5,3.0625,5.359375,17.8125
"1676944",0,0,1,0,1,0,0,0,9.5,0.9025,0.857375,46.8666666666667
"1676962",0,0,0,1,1,0,0,0,35,12.25,42.875,12.1125
"1676971",1,0,1,0,1,0,0,0,12,1.44,1.728,20.6625
"1676972",0,0,0,1,1,0,0,0,11,1.21,1.331,7.125
"1676979",0,0,0,1,1,0,0,0,8,0.64,0.512,9.2625
"1676982",0,0,0,1,1,0,0,0,10,1,1,7.8375
"1677008",0,1,0,0,1,0,0,0,22,4.84,10.648,27.075
"1677017",0,0,0,1,1,0,0,0,11,1.21,1.331,7.125
"1677022",1,1,0,0,1,0,0,0,17,2.89,4.913,23.75
"1677029",1,1,0,0,1,0,0,0,18,3.24,5.832,9.2625
"1677030",1,1,0,0,1,0,0,0,21,4.41,9.261,14.25
"1677031",1,0,0,1,1,0,0,0,30,9,27,17.1
"1677095",0,0,1,0,1,0,0,0,8,0.64,0.512,22.5625
"1677097",0,0,1,0,1,0,0,0,7.5,0.5625,0.421875,7.53214285714286
"1677101",1,0,1,0,1,0,0,0,6,0.36,0.216,15.561
"1677144",0,1,0,0,1,0,0,0,2,0.04,0.008,9.579705
"1677160",1,0,0,1,1,0,0,0,18,3.24,5.832,6.76875
"1677162",1,0,1,0,1,0,0,0,8.5,0.7225,0.614125,9.975
"1677192",1,0,1,0,1,0,0,0,27,7.29,19.683,9.52185
"1677202",0,0,0,1,1,0,0,0,7,0.49,0.343,12.6666666666667
"1677206",1,0,0,1,1,0,0,0,12,1.44,1.728,8.55
"1677276",0,0,0,1,1,0,0,0,35,12.25,42.875,16.3875
"1677289",0,0,1,0,1,0,0,0,8,0.64,0.512,17.45625
"1677290",0,0,1,0,1,0,0,0,13.5,1.8225,2.460375,12.375
"1677291",0,0,0,1,1,0,0,0,18,3.24,5.832,12.46875
"1677310",0,0,0,1,1,0,0,0,22,4.84,10.648,9.5
"1677313",0,1,0,0,1,0,0,0,4,0.16,0.064,13.4583333333333
"1677329",0,0,0,1,1,0,0,0,6,0.36,0.216,9.61875
"1677344",0,0,0,1,1,0,0,0,13,1.69,2.197,13.0936125
"1677347",0,0,0,1,1,0,0,0,6,0.36,0.216,9.975
"1677359",0,1,0,0,1,0,0,0,7,0.49,0.343,39.9
"1677362",0,0,1,0,1,0,0,0,19,3.61,6.859,7.125
"1677365",0,0,0,1,1,0,0,0,20,4,8,8.90625
"1677367",0,1,0,0,1,0,0,0,10,1,1,25.3333333333333
"1677384",0,1,0,0,1,0,0,0,4,0.16,0.064,30.28125
"1677385",1,0,0,1,1,0,0,0,27,7.29,19.683,20.30625
"1677386",0,1,0,0,1,0,0,0,17,2.89,4.913,19.95
"1677387",1,0,1,0,1,0,0,0,4.5,0.2025,0.091125,6.10714285714286
"1677395",1,0,1,0,1,0,0,0,6.5,0.4225,0.274625,14.25
"1677412",0,1,0,0,1,0,0,0,11,1.21,1.331,10.83
"1677427",1,0,0,1,1,0,0,0,6,0.36,0.216,7.125
"1677434",1,1,0,0,1,0,0,0,6,0.36,0.216,10.6875
"1677436",1,1,0,0,1,0,0,0,26,6.76,17.576,14.25
"1677439",1,1,0,0,1,0,0,0,2,0.04,0.008,15.3732166666667
"1677440",1,1,0,0,1,0,0,0,6,0.36,0.216,20.6625
"1677443",1,1,0,0,1,0,0,0,26,6.76,17.576,14.25
"1677460",1,1,0,0,1,0,0,0,30,9,27,25.65
"1677465",0,0,1,0,1,0,0,0,30.5,9.3025,28.372625,28.5
"1677468",1,0,0,1,1,0,0,0,17,2.89,4.913,12.825
"1677472",0,1,0,0,1,0,0,0,6,0.36,0.216,18.525
"1677473",1,1,0,0,1,0,0,0,6,0.36,0.216,17.385
"1677476",1,0,0,1,1,0,0,0,16,2.56,4.096,8.14285714285714
"1677481",0,0,0,1,1,0,0,0,8,0.64,0.512,12.46875
"1677504",1,1,0,0,1,0,0,0,2,0.04,0.008,15.675
"1677508",1,1,0,0,1,0,0,0,4,0.16,0.064,17.8125
"1677511",1,1,0,0,1,0,0,0,16,2.56,4.096,249.375
"1677512",0,1,0,0,1,0,0,0,17,2.89,4.913,26.71875
"1677525",1,0,1,0,1,0,0,0,26,6.76,17.576,19.95
"1677526",0,0,0,1,1,0,0,0,7,0.49,0.343,5.9375
"1677542",1,0,1,0,1,0,0,0,33,10.89,35.937,11.4
"1677543",0,0,1,0,1,0,0,0,15.5,2.4025,3.723875,21.0357142857143
"1677567",0,1,0,0,1,0,0,0,5,0.25,0.125,7.5
"1677576",1,0,0,1,1,0,0,0,25,6.25,15.625,9.975
"1677580",1,1,0,0,1,0,0,0,17,2.89,4.913,26.71875
"1677594",1,1,0,0,1,0,0,0,2,0.04,0.008,12.825
"1677596",0,1,0,0,1,0,0,0,2,0.04,0.008,32.0625
"1677603",0,1,0,0,1,0,0,0,27,7.29,19.683,35.625
"1677604",1,0,0,1,1,0,0,0,21,4.41,9.261,20.30625
"1677606",0,1,0,0,1,0,0,0,2,0.04,0.008,9.2625
"1677609",1,0,1,0,1,0,0,0,7,0.49,0.343,14.25
"1677629",0,1,0,0,1,0,0,0,6,0.36,0.216,22.0875
"1677630",1,1,0,0,1,0,0,0,3,0.09,0.027,15.675
"1677645",0,1,0,0,1,0,0,0,3,0.09,0.027,14.25
"1677647",0,1,0,0,1,0,0,0,9,0.81,0.729,8.90625
"1677657",1,0,0,1,1,0,0,0,7,0.49,0.343,8.90625
"1677670",0,0,1,0,1,0,0,0,18.5,3.4225,6.331625,10.6875
"1677675",0,0,1,0,1,0,0,0,5.5,0.3025,0.166375,20.5833333333333
"1677680",0,0,0,1,1,0,0,0,23,5.29,12.167,11.4
"1677690",0,1,0,0,1,0,0,0,7,0.49,0.343,21.375
"1677698",0,0,1,0,1,0,0,0,6.5,0.4225,0.274625,7.125
"1677766",1,0,0,1,1,0,0,0,11,1.21,1.331,6.4125
"1677796",0,0,1,0,1,0,0,0,9,0.81,0.729,26.71875
"1677798",0,0,1,0,1,0,0,0,8.5,0.7225,0.614125,13.359375
"1677808",1,1,0,0,1,0,0,0,10,1,1,9.61875
"1677809",1,0,0,1,1,0,0,0,27,7.29,19.683,20.6625
"1677835",0,1,0,0,1,0,0,0,5,0.25,0.125,18.703125
"1677840",0,1,0,0,1,0,0,0,29,8.41,24.389,8.265
"1677841",0,1,0,0,1,0,0,0,2,0.04,0.008,22.4074125
"1677849",1,1,0,0,1,0,0,0,2,0.04,0.008,5.584005
"1677850",1,0,0,1,1,0,0,0,15,2.25,3.375,3.8
"1677856",0,0,1,0,1,0,0,0,12,1.44,1.728,4.275
"1677857",0,1,0,0,1,0,0,0,11,1.21,1.331,10.6875
"1677858",0,1,0,0,1,0,0,0,5,0.25,0.125,17.8125
"1677873",1,0,1,0,1,0,0,0,23.5,5.5225,12.977875,9.975
"1677876",1,0,1,0,1,0,0,0,7.5,0.5625,0.421875,12.46875
"1677877",1,0,1,0,1,0,0,0,10.5,1.1025,1.157625,5.13
"1677880",1,1,0,0,1,0,0,0,10,1,1,17.8125
"1677881",1,0,0,1,1,0,0,0,24,5.76,13.824,9.975
"1677898",1,0,1,0,1,0,0,0,5.5,0.3025,0.166375,5.34375
"1677902",1,0,1,0,1,0,0,0,4.5,0.2025,0.091125,7.48125
"1677903",0,0,1,0,1,0,0,0,4.5,0.2025,0.091125,7.8375
"1677910",0,0,1,0,1,0,0,0,26,6.76,17.576,17.4166666666667
"1677911",1,0,1,0,1,0,0,0,9.5,0.9025,0.857375,11.04375
"1677940",0,0,0,1,1,0,0,0,31,9.61,29.791,18.3214285714286
"1677945",1,1,0,0,1,0,0,0,6,0.36,0.216,17.8132125
"1678000",1,1,0,0,1,0,0,0,6,0.36,0.216,9.975
"1678011",1,0,1,0,1,0,0,0,18,3.24,5.832,14.25
"1678052",0,0,1,0,1,0,0,0,6.5,0.4225,0.274625,11.04375
"1678060",0,1,0,0,1,0,0,0,14,1.96,2.744,35.625
"1678089",0,1,0,0,1,0,0,0,7,0.49,0.343,10.6875
"1678107",1,1,0,0,1,0,0,0,19,3.61,6.859,12.46875
"1678108",0,1,0,0,1,0,0,0,18,3.24,5.832,10.9360465116279
"1678144",0,1,0,0,1,0,0,0,3,0.09,0.027,28.5
"1678193",1,0,0,1,1,0,0,0,9,0.81,0.729,5.29285714285714
"1678194",0,0,0,1,1,0,0,0,24,5.76,13.824,8.625
"1678205",1,0,1,0,1,0,0,0,12,1.44,1.728,19.95
"1678221",0,0,0,1,1,0,0,0,30,9,27,42.75
"1678223",0,0,1,0,1,0,0,0,6,0.36,0.216,17.8125
"1678266",0,0,0,1,1,0,0,0,7,0.49,0.343,9.06818181818182
"1678267",1,0,1,0,1,0,0,0,7.5,0.5625,0.421875,9.86538461538462
"1678276",0,0,0,1,1,0,0,0,19,3.61,6.859,12.46875
"1678277",0,0,0,1,1,0,0,0,15,2.25,3.375,16.03125
"1678278",0,0,0,1,1,0,0,0,22,4.84,10.648,13.18125
"1678282",0,0,0,1,1,0,0,0,17,2.89,4.913,14.25
"1678287",1,0,0,1,1,0,0,0,28,7.84,21.952,10.6875
"1678293",1,1,0,0,1,0,0,0,12,1.44,1.728,16.03125
"1678304",0,0,0,1,1,0,0,0,10,1,1,25.7712765957447
"1678307",0,0,0,1,1,0,0,0,16,2.56,4.096,10.1961206896552
"1678325",0,1,0,0,1,0,0,0,3,0.09,0.027,16.03125
"1678328",1,0,0,1,1,0,0,0,19,3.61,6.859,19.2375
"1678353",1,1,0,0,1,0,0,0,26,6.76,17.576,19.2375
"1678375",0,1,0,0,1,0,0,0,6,0.36,0.216,8.55
"1678376",1,1,0,0,1,0,0,0,3,0.09,0.027,10.6875
"1678377",0,1,0,0,1,0,0,0,6,0.36,0.216,8.55
"1678387",0,0,1,0,1,0,0,0,8.5,0.7225,0.614125,4.275
"1678390",0,0,0,1,1,0,0,0,10,1,1,21.66
"1678391",1,0,0,1,1,0,0,0,8,0.64,0.512,11.25
"1678399",0,0,0,1,1,0,0,0,6,0.36,0.216,6.76875
"1678432",1,0,1,0,1,0,0,0,4.5,0.2025,0.091125,9.62837837837838
"1678439",1,0,0,1,1,0,0,0,7,0.49,0.343,5.34375
"1678443",1,0,1,0,1,0,0,0,22.5,5.0625,11.390625,11.4
"1678454",0,0,0,1,1,0,0,0,19,3.61,6.859,5.90357142857143
"1678465",0,0,0,1,1,0,0,0,13,1.69,2.197,13.89375
"1678466",1,1,0,0,1,0,0,0,10,1,1,6.555
"1678474",0,0,0,1,1,0,0,0,6,0.36,0.216,10.83
"1678482",0,0,0,1,1,0,0,0,33,10.89,35.937,11.47125
"1678490",1,0,1,0,1,0,0,0,10.5,1.1025,1.157625,14.60625
"1678526",0,1,0,0,1,0,0,0,2,0.04,0.008,13.18125
"1678528",1,0,1,0,1,0,0,0,6,0.36,0.216,8.05434782608696
"1678536",0,0,0,1,1,0,0,0,7,0.49,0.343,5.34375
"1678537",0,0,1,0,1,0,0,0,5.5,0.3025,0.166375,6.71394230769231
"1678576",1,0,0,1,1,0,0,0,22,4.84,10.648,14.25
"1678593",0,0,0,1,1,0,0,0,27,7.29,19.683,11.04375
"1678605",0,0,1,0,1,0,0,0,6.5,0.4225,0.274625,12.46875
"1678615",1,1,0,0,1,0,0,0,3,0.09,0.027,6.375
"1678616",0,0,0,1,1,0,0,0,17,2.89,4.913,12.255
"1678625",0,0,1,0,1,0,0,0,7,0.49,0.343,8.55
"1678749",0,0,1,0,1,0,0,0,11.5,1.3225,1.520875,11.4
"1678756",0,0,1,0,1,0,0,0,5.5,0.3025,0.166375,17.8125
"1678762",1,0,1,0,1,0,0,0,18,3.24,5.832,8.14285714285714
"1678763",1,0,0,1,1,0,0,0,33,10.89,35.937,12.825
